Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-029 ( Patrol Setting ),Chrome 76.0.3809.100,,,2019-09-01 13:38:38,2019-09-01 13:39:09,30.474s,INCOMPLETE
,,,,,,,
Test Cases/IP-029 ( Patrol Checkpoint ),Chrome 76.0.3809.100,,,2019-09-01 13:38:39,2019-09-01 13:39:09,30.166s,PASSED
"callTestCase(findTestCase(""IP-001 (Login hit berkali kali)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-01 13:38:39,2019-09-01 13:39:05,26.295s,PASSED
"click(findTestObject(""Object Repository/patrol setting/div_Guard  Security""))",Chrome 76.0.3809.100,,,2019-09-01 13:39:05,2019-09-01 13:39:07,1.241s,PASSED
"click(findTestObject(""Object Repository/patrol setting/a_Patrol Setting""))",Chrome 76.0.3809.100,,,2019-09-01 13:39:07,2019-09-01 13:39:07,0.302s,PASSED
"click(findTestObject(""Object Repository/patrol setting/a_Add New Checkpoint""))",Chrome 76.0.3809.100,,,2019-09-01 13:39:07,2019-09-01 13:39:08,0.878s,PASSED
"setText(findTestObject(""Object Repository/patrol setting/input_Checkpoint Name_patrol-point""), ""ipropotomasi"")",Chrome 76.0.3809.100,,,2019-09-01 13:39:08,2019-09-01 13:39:09,0.810s,PASSED
"setText(findTestObject(""Object Repository/patrol setting/input_QR Code_code""), ""iprop12345"")",Chrome 76.0.3809.100,,,2019-09-01 13:39:09,2019-09-01 13:39:09,0.229s,PASSED
"click(findTestObject(""Object Repository/patrol setting/button_Create New Checkpoint""))",Chrome 76.0.3809.100,,,2019-09-01 13:39:09,2019-09-01 13:39:09,0.132s,PASSED
