Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-034 ( Property List ),Chrome 76.0.3809.100,,,2019-09-03 09:43:40,2019-09-03 09:44:41,1m - 0.645s,INCOMPLETE
,,,,,,,
Test Cases/IP0-34 ( Property List ),Chrome 76.0.3809.100,,,2019-09-03 09:43:41,2019-09-03 09:44:41,1m - 0.230s,FAILED
"callTestCase(findTestCase(""IP-001 (Login hit berkali kali)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-03 09:43:41,2019-09-03 09:43:59,17.918s,PASSED
"click(findTestObject(""Object Repository/Report Property List/div_Reports""))",Chrome 76.0.3809.100,,,2019-09-03 09:43:59,2019-09-03 09:44:00,0.912s,PASSED
"click(findTestObject(""Object Repository/Report Property List/a_Property List""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:00,2019-09-03 09:44:00,0.316s,PASSED
"setText(findTestObject(""Report Property List/input_House Number___BVID__171""), ""2"")",Chrome 76.0.3809.100,,,2019-09-03 09:44:00,2019-09-03 09:44:01,0.842s,PASSED
"clearText(findTestObject(""Report Property List/input_House Number___BVID__171""), STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-03 09:44:01,2019-09-03 09:44:01,0.179s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:44:01,2019-09-03 09:44:03,1.011s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:44:03,2019-09-03 09:44:03,0.284s,PASSED
"click(findTestObject(""Report Property List/input_Street Name_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:03,2019-09-03 09:44:03,0.129s,PASSED
"click(findTestObject(""Report Property List/li_Jl Mentari Bersinar""), STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-03 09:44:03,2019-09-03 09:44:03,0.223s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:44:03,2019-09-03 09:44:03,0.325s,PASSED
"clearText(findTestObject(""Report Property List/input_Street Name_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:03,2019-09-03 09:44:04,0.107s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:44:04,2019-09-03 09:44:05,1.006s,PASSED
"click(findTestObject(""Report Property List/input_Property Type_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:05,2019-09-03 09:44:05,0.171s,PASSED
"click(findTestObject(""Report Property List/li_Condominiums""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:05,2019-09-03 09:44:05,0.189s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:44:05,2019-09-03 09:44:05,0.310s,PASSED
"clearText(findTestObject(""Report Property List/input_Property Type_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:05,2019-09-03 09:44:05,0.123s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:44:05,2019-09-03 09:44:06,1.007s,PASSED
"click(findTestObject(""Report Property List/input_Property Status_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:06,2019-09-03 09:44:07,0.147s,PASSED
"click(findTestObject(""Report Property List/li_Resident""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:07,2019-09-03 09:44:07,0.192s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:44:07,2019-09-03 09:44:07,0.289s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:44:07,2019-09-03 09:44:08,1.006s,PASSED
"click(findTestObject(""Report Property List/input_Property Status_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:08,2019-09-03 09:44:08,0.129s,PASSED
"click(findTestObject(""Object Repository/Report Property List/li_No Resident""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:08,2019-09-03 09:44:08,0.229s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:44:08,2019-09-03 09:44:09,0.289s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:44:09,2019-09-03 09:44:10,1.009s,PASSED
"click(findTestObject(""Object Repository/Report Property List/a_Edit""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:10,2019-09-03 09:44:10,0.152s,PASSED
"click(findTestObject(""Object Repository/Report Property List/li_Bungalow""))",Chrome 76.0.3809.100,,,2019-09-03 09:44:10,2019-09-03 09:44:41,31.261s,FAILED
