Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-036 ( Report Receipt Transactions ),Chrome 76.0.3809.100,,,2019-09-04 06:15:11,2019-09-04 06:15:42,31.258s,INCOMPLETE
,,,,,,,
Test Cases/IP-036 ( Report Receipt Transaction ),Chrome 76.0.3809.100,,,2019-09-04 06:15:11,2019-09-04 06:15:42,30.886s,FAILED
"callTestCase(findTestCase(""IP-001 (Login hit berkali kali)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-04 06:15:12,2019-09-04 06:15:30,18.633s,PASSED
"click(findTestObject(""receipt transactions/div_Reports""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:30,2019-09-04 06:15:31,0.947s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-09-04 06:15:31,2019-09-04 06:15:33,2.005s,PASSED
"click(findTestObject(""receipt transactions/a_Receipts Transactions""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:33,2019-09-04 06:15:34,0.140s,PASSED
"click(findTestObject(""receipt transactions/input_Date Range_date""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:34,2019-09-04 06:15:35,1.756s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-04 06:15:35,2019-09-04 06:15:38,3.008s,PASSED
"click(findTestObject(""receipt transactions/button_previous 30 days""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:38,2019-09-04 06:15:38,0.145s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-04 06:15:38,2019-09-04 06:15:41,3.005s,PASSED
"setText(findTestObject(""receipt transactions/input_Receipt Number___BVID__176""), ""CBA00021"")",Chrome 76.0.3809.100,,,2019-09-04 06:15:41,2019-09-04 06:15:42,0.270s,PASSED
"clearText(findTestObject(""receipt transactions/input_Receipt Number___BVID__176""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:42,2019-09-04 06:15:42,0.131s,PASSED
"click(findTestObject(""receipt transactions/input_Received_vs__search""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:42,2019-09-04 06:15:42,0.283s,PASSED
"click(findTestObject(""Page_iPropio - Receipts Report/li_All""))",Chrome 76.0.3809.100,,,2019-09-04 06:15:42,2019-09-04 06:15:42,0.070s,FAILED
