Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-002 ( Forgot pin ) and ( Forgot Email ),Chrome 76.0.3809.100,,,2019-09-10 11:06:16,2019-09-10 11:07:34,1m - 17.785s,INCOMPLETE
,,,,,,,
Test Cases/IP-002 (Forgot Pin),Chrome 76.0.3809.100,,,2019-09-10 11:06:16,2019-09-10 11:07:34,1m - 17.494s,FAILED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,,2019-09-10 11:06:16,2019-09-10 11:06:21,4.535s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 11:06:21,2019-09-10 11:06:26,5.042s,PASSED
"check(findTestObject(""Forgot Pin/Page_iPropio - Login/a_Click here""))",Chrome 76.0.3809.100,,,2019-09-10 11:06:26,2019-09-10 11:06:31,5.390s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/click here.png"")",Chrome 76.0.3809.100,,,2019-09-10 11:06:31,2019-09-10 11:06:32,0.762s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-10 11:06:32,2019-09-10 11:06:35,3.010s,PASSED
"setText(findTestObject(""Forgot Pin/Page_iPropio - Forgot Password/input_Email Address_email""), ""refqi.hussein@gmail.com"")",Chrome 76.0.3809.100,,,2019-09-10 11:06:35,2019-09-10 11:06:36,0.635s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 11:06:36,2019-09-10 11:06:41,5.008s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/set email.png"")",Chrome 76.0.3809.100,,,2019-09-10 11:06:41,2019-09-10 11:06:41,0.672s,PASSED
"click(findTestObject(""Forgot Pin/Page_iPropio - Forgot Password/button_SEND PASSWORD REQUEST""))",Chrome 76.0.3809.100,,,2019-09-10 11:06:41,2019-09-10 11:06:42,0.174s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 11:06:42,2019-09-10 11:06:47,5.008s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/password sent.png"")",Chrome 76.0.3809.100,,,2019-09-10 11:06:47,2019-09-10 11:06:47,0.607s,PASSED
"callTestCase(findTestCase(""IP-021 ( Forgot email )""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-10 11:06:47,2019-09-10 11:07:33,46.360s,FAILED
