Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-038 ( Report Resident List ),Chrome 76.0.3809.100,,,2019-09-06 09:57:27,2019-09-06 09:58:01,34.346s,INCOMPLETE
,,,,,,,
Test Cases/IP-038 ( Report Resident List ),Chrome 76.0.3809.100,,,2019-09-06 09:57:27,2019-09-06 09:58:01,33.849s,FAILED
"callTestCase(findTestCase(""IP-001 (Login hit berkali kali)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-06 09:57:28,2019-09-06 09:57:49,20.920s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-09-06 09:57:49,2019-09-06 09:57:51,2.007s,PASSED
"click(findTestObject(""Object Repository/Report Resident list/div_Reports""))",Chrome 76.0.3809.100,,,2019-09-06 09:57:51,2019-09-06 09:57:51,0.154s,PASSED
"click(findTestObject(""Object Repository/Report Resident list/a_Resident List""))",Chrome 76.0.3809.100,,,2019-09-06 09:57:51,2019-09-06 09:57:51,0.195s,PASSED
delay(0),Chrome 76.0.3809.100,,,2019-09-06 09:57:51,2019-09-06 09:57:51,0.016s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-06 09:57:51,2019-09-06 09:57:52,0.508s,PASSED
"click(findTestObject(""Object Repository/Report Resident list/td_test resident 2""))",Chrome 76.0.3809.100,,,2019-09-06 09:57:52,2019-09-06 09:57:53,1.217s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-06 09:57:53,2019-09-06 09:57:58,5.008s,PASSED
"click(findTestObject(""Object Repository/Report Resident list/button_Edit Resident Data""))",Chrome 76.0.3809.100,,,2019-09-06 09:57:58,2019-09-06 09:57:58,0.200s,PASSED
"setText(findTestObject(""Report Resident list/input__first name""), ""testing"")",Chrome 76.0.3809.100,,,2019-09-06 09:57:58,2019-09-06 09:57:59,0.384s,PASSED
"setText(findTestObject(""Report Resident list/input__last name""), ""resident 3"")",Chrome 76.0.3809.100,,,2019-09-06 09:57:59,2019-09-06 09:57:59,0.448s,PASSED
"setText(findTestObject(""Report Resident list/input_House Telephone Number_house-telephone-number""), ""021222222"")",Chrome 76.0.3809.100,,,2019-09-06 09:57:59,2019-09-06 09:58:00,0.407s,PASSED
delay(0),Chrome 76.0.3809.100,,,2019-09-06 09:58:00,2019-09-06 09:58:00,0.016s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-06 09:58:00,2019-09-06 09:58:00,0.325s,PASSED
"click(findTestObject(""Report Resident list/button_Save Resident Data""))",Chrome 76.0.3809.100,,,2019-09-06 09:58:00,2019-09-06 09:58:00,0.171s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-06 09:58:00,2019-09-06 09:58:00,0.338s,PASSED
"click(findTestObject(""Object Repository/Report Resident list/button_Back""))",Chrome 76.0.3809.100,,,2019-09-06 09:58:00,2019-09-06 09:58:01,0.158s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-06 09:58:01,2019-09-06 09:58:01,0.349s,PASSED
"click(findTestObject(""Object Repository/Report Resident list/button_Assign""))",Chrome 76.0.3809.100,,,2019-09-06 09:58:01,2019-09-06 09:58:01,0.192s,FAILED
