Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-002 ( Forgot pin ) and ( Forgot Email ),Chrome 76.0.3809.100,,,2019-09-10 10:22:33,2019-09-10 10:23:05,31.805s,INCOMPLETE
,,,,,,,
Test Cases/IP-002 (Forgot Pin),Chrome 76.0.3809.100,,,2019-09-10 10:22:33,2019-09-10 10:23:05,31.410s,FAILED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,,2019-09-10 10:22:33,2019-09-10 10:22:39,5.178s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 10:22:39,2019-09-10 10:22:44,5.063s,PASSED
"check(findTestObject(""Forgot Pin/Page_iPropio - Login/a_Click here""))",Chrome 76.0.3809.100,,,2019-09-10 10:22:44,2019-09-10 10:22:44,0.319s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/click here.png"")",Chrome 76.0.3809.100,,,2019-09-10 10:22:44,2019-09-10 10:22:45,0.821s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-10 10:22:45,2019-09-10 10:22:48,3.006s,PASSED
"setText(findTestObject(""Forgot Pin/Page_iPropio - Forgot Password/input_Email Address_email""), ""refqi.hussein@gmail.com"")",Chrome 76.0.3809.100,,,2019-09-10 10:22:48,2019-09-10 10:22:48,0.645s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 10:22:48,2019-09-10 10:22:53,5.064s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/set email.png"")",Chrome 76.0.3809.100,,,2019-09-10 10:22:54,2019-09-10 10:22:54,0.602s,PASSED
"click(findTestObject(""Forgot Pin/Page_iPropio - Forgot Password/button_SEND PASSWORD REQUEST""))",Chrome 76.0.3809.100,,,2019-09-10 10:22:54,2019-09-10 10:22:54,0.163s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 10:22:54,2019-09-10 10:22:59,5.006s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/password sent.png"")",Chrome 76.0.3809.100,,,2019-09-10 10:22:59,2019-09-10 10:23:00,0.621s,PASSED
"callTestCase(findTestCase(""IP-021 ( Forgot email )""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-10 10:23:00,2019-09-10 10:23:05,4.611s,FAILED
